Country,Time,Labour force,"Private final consumption expenditure, volume","Gross fixed capital formation, total, volume","Gross domestic product, volume, market prices",Total employment (labour force survey basis),"Imports of goods and services, volume (national accounts basis)","Exports of goods and services, volume (national accounts basis)",Unemployment rate,Countryno,Consumption % per GDP,Investment % per GDP,Net exports % per GDP,Labour productivity,Labour productivity growth
Australia,2006.75,244762820830.164,10726085.0135978,10237607.4883351,347071587777.047,242782968626.485,768608863952.19,1376916332298.46,4.55410827569874,1,0.0030904532065840137,0.0029497106213463857,175.26858716451218,1.42955492199705,-4.0947057026340055
Australia,2007.0,246499805719.496,10790995.6099181,10302395.2763153,355700730082.555,253342975806.766,784267001937.177,1397576537717.84,4.52785221368957,1,0.003033728833621906,0.0028963660754714234,172.42290608690044,1.4040283885899447,-1.785628031096942
Australia,2007.25,247974077690.24,10866360.3012591,10398662.39224,361681198426.54,259100639675.258,791137654218.768,1405808417434.35,4.30408983369434,1,0.003004402868750761,0.0028750906703136365,169.9482212206909,1.3959100945480127,-0.5782143799873629
Australia,2007.5,250566013610.916,10952402.6234157,10481996.3038781,372978077847.951,265442994844.984,804550471095.804,1421113003962.08,4.29500572351005,1,0.00293647355539233,0.0028103518481188625,165.3079817515777,1.405115543040668,0.6594585517082363
Australia,2007.75,250560102979.348,11037748.4854071,10554021.6716666,384403993642.955,274333389672.993,814324872748.253,1427794040885.74,4.38247722694579,1,0.00287139277113215,0.002745554636841121,159.58969685088493,1.4012293366883513,-0.2765755721345964
Australia,2008.0,257564180451.533,11093841.9705777,10645493.7893591,394903758970.048,286208237545.835,818220876762.106,1443241963251.56,4.04141488951868,1,0.0028092520566306203,0.0026957185257298405,158.27174907617422,1.3797777532759021,-1.5309116681176183
Australia,2008.25,261649656435.392,11183976.3193042,10711607.5240774,397527767442.764,300267035858.677,815511070657.68,1446007783785.16,4.22362120359173,1,0.002813382418855676,0.0026945558024747684,158.60444596949034,1.3239141163329813,-4.048741676714817
Australia,2008.5,261205378867.818,11250750.0093147,10776164.4589524,396334137961.439,298781841636.598,813627876467.273,1456861379272.54,4.21825700481631,1,0.0028387032384299257,0.002718959440228906,162.29576036870432,1.3265000837751437,0.19532743176160494
Australia,2008.75,258388784245.257,11293969.3441367,10791414.6346444,391682335625.75,275806884958.89,813156176112.941,1449792873690.74,4.44976158672861,1,0.0028834512861279546,0.002755144578425801,162.5390372942683,1.4201325528335946,7.058610112709407
Australia,2009.0,266422432473.73,11393609.279644,10794326.3863649,385121875311.312,255558793230.356,816690082327.74,1464787075958.56,5.25981608259814,1,0.0029584425113307346,0.002802833876325343,168.2836097292404,1.5069795503540755,6.115414884842596
Australia,2009.25,260600248299.996,11432358.5670236,10781977.8109244,385933904608.828,256075594360.344,829278324983.94,1473186114625.51,5.68894644343337,1,0.002962258156253756,0.002793736876228254,166.8440585167601,1.5071092798704988,0.008608578423840996
Australia,2009.5,265046530848.254,11448014.739645,10793463.5170657,384447058101.472,267238517243.562,832894501148.209,1478074443681.52,5.71759591042908,1,0.0029777870576456283,0.002807529226616385,167.82023140440327,1.438591495218804,-4.546305006998718
